,algo,users_count,top_k,average_time(ms)
0,mrr_naive,100,10,3.92
1,mrr_numba,100,10,0.09
2,mrr_pandas,100,10,4.7
3,mrr_naive,100,50,11.45
4,mrr_numba,100,50,0.14
5,mrr_pandas,100,50,5.19
6,mrr_naive,100,100,22.01
7,mrr_numba,100,100,0.2
8,mrr_pandas,100,100,7.39
9,mrr_naive,1000,10,63.4
10,mrr_numba,1000,10,7.49
11,mrr_pandas,1000,10,7.65
12,mrr_naive,1000,50,147.59
13,mrr_numba,1000,50,6.81
14,mrr_pandas,1000,50,12.45
15,mrr_naive,1000,100,256.92
16,mrr_numba,1000,100,6.64
17,mrr_pandas,1000,100,18.75
18,mrr_naive,10000,10,1953.06
19,mrr_numba,10000,10,627.01
20,mrr_pandas,10000,10,33.59
21,mrr_naive,10000,50,2753.69
22,mrr_numba,10000,50,598.06
23,mrr_pandas,10000,50,87.69
24,mrr_naive,10000,100,3463.42
25,mrr_numba,10000,100,551.74
26,mrr_pandas,10000,100,208.36
27,mrr_naive,100000,10,160039.52
28,mrr_numba,100000,10,62942.49
29,mrr_pandas,100000,10,386.61
30,mrr_naive,100000,50,174181.89
31,mrr_numba,100000,50,65089.84
32,mrr_pandas,100000,50,1809.64
33,mrr_naive,100000,100,178355.05
34,mrr_numba,100000,100,63056.09
35,mrr_pandas,100000,100,3206.36
